Epoch	Start	End	Bits	SHA256_hex	Chain_hex
32	65536	67584	2048	1c8533492ab325f1facd06000cc5c9e133b907e24f08c5aca8077c728f385bcf	cc7124a499439f790959bd17fcd4519917b411c89cbb9437c63d7d86091bbf66
33	67584	69632	2048	f29027652f9b31decde6f19192aa39604949dbc5c5b7d61a719ff1be3c197be6	94011d81df6dc1514978fc0fb5f013a8001226f95e39b57ef5b023ea5a640110
34	69632	71680	2048	832558230b05cd340f8fca1f27b56291350e7f747d623a439dd2fb5507768854	18e0beb0a3dc113c82c8129432bc4fa0a1b0d9806cd9eda67b7f92683c4aed72
35	71680	73728	2048	18e4047e7185871ace35e41b6ea4bdc60b2880f2027c83663dc2fdbe9a674383	1afce3a712334fb91b1c2f73013cb911d078f3c2c11f5fb71dff6ece06ec5594
36	73728	75776	2048	301fe193dda2af8201022260e1a7d6505a50e478bb848fddf45e1e8bd8e0eed2	3d60d80ca5663dfe5da364fd63d677b5f705d71d811807be964c1e725afa51fe
37	75776	77824	2048	66be738bd60fb2482ed35cdb3d822752e19863b726b5e21a7d3bc1480c0f95e9	3eaed5e2f85e91b33bef6522d13e92d559cb81cee501b76552b1efafdc676025
38	77824	79872	2048	9f8d5b915218601f77ba857c1b7c89081f5dbe1aad076e4d6016596cf30bc08f	228cb99c09f3395ffd564a3eb8849522e66d1fde8fae0d38574e0c3956c2564a
39	79872	81920	2048	7f1ad75c0b4a2b43794a8b70ed1da6a652a270c4e4a9cfd493ea584d2dcfd3f1	f14b5ef5bb69b923c71758cd227a4bf0fce3ac6f47894ec28bad1abb4c41c92a
40	81920	83968	2048	5459ac0c8ea73f6d6fa2d8f93b5fd98f81535c7995cb23e04e03186895e161f4	9487d36940103e7653052ff4d3abe1383e0209fbdc676f063485e04c76e55b8b
41	83968	86016	2048	04623c4d55c5bdff1f61db0ff8c45e578b1b185d3f13ebcb4c6c2f6b61e7e499	879f86fbd15c59b0f3aed9e627fb881962d307b32ab3451e5fdec52e52b41073
42	86016	88064	2048	843b1b79407a065aec060bece504cbf8a4061c4e2f1fd7e4dcaa19363498021c	a23a4835ad7dbed7c41abb6c09502038fb3b93f01034bb61f0afd90dfeb3bc52
43	88064	90112	2048	5b30ba80cce798a56913127bcf4af38dec8a46a789a1fc6a126d0c953f3038e5	9b2cdf9c860ab5fa8f8e21405d7db3aea25b973fe4aa6a16a978bd38a90ff100
44	90112	92160	2048	cee9a47166395e7f16bca24f83bbe775429f305b62b5cec2683e237cf891799d	98dad9199c571438c3d246fea2a79044f10831b5a168b830b3985a8aa81b5848
45	92160	94208	2048	59c9a7bfd7958eb19b1140608ebda92afb589962cc5e47ec61e0acbf2a56fc15	567c6d81a709248b0934b9f3c4b0b75c0f1b311e62dfb7936becf1556554c668
46	94208	96256	2048	8047b445a762cc7b57e8f8d01eb70971f9a3f8c7f6584b7177b64728a87bc7dc	4298ff1cca4e66d490f768c40ce6043145351005e8a962a4eb1177534dc43783
47	96256	98304	2048	22489fd7f14fafe0b83ca638ffe5a0de9fdfae36d2dbc13feadb091d6e55c22a	f0912d5bacc19d20df8a6af30bbec9bf6d2507ca00769fbe39c72baf88cd635a
48	98304	100352	2048	24cb86884b0d9810ecf5444654dea720d0f2ffec93d46a659ed8d9abf79ad1b0	4ae8a83bda457748fae63e7397fea1dd8433b1300d17ae0817b2578af6b7bf29
49	100352	102400	2048	b1b3930739fa6e74ef69299a18bf1159363e2e4920e52b36e58b9fceffd29248	80c8a9a8325e87863c8439ff1273306fd5cc9e5affc123b6c7ffeef797af4e21
50	102400	104448	2048	34bb6af4fc806a5e0f663e87acb1fb7ee8aa1cb4b2a2f0b6a275da72426e8157	e702ea3e0f5501f3e17f4e36b716ba118280fefce0bb3813e5b852bf59bd8fd6
